Course ID,Discipline,Course Name,SME Name,Institute,Co-ordinating Institute,Duration,Type of course,Start date,End date,Exam date,Enrollment End date,Exam Registration End date,UG/PG,Core/Elective,FDP,Applicable NPTEL Domain,Click here to join the course,Old course URL,NPTEL URL,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,"
Co-ordinating Institute",Click here to Join the course,Course ID.1,NPTEL URL.1,Unnamed: 26,description_gemini
noc23-ae18,Aerospace Engineering,aerodynamic design of axial flow compressors & fans,Prof. Chetankumar Sureshbhai Mistry,IITKGP,IITKGP,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae18/preview,https://onlinecourses.nptel.ac.in/noc22_ae18/preview,https://nptel.ac.in/courses/101105089,,,,,,,,,,,,
noc23-ae19,Aerospace Engineering,smart structures,Prof. Mohammed Rabius Sunny,IITKGP,IITKGP,12 weeks,New,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae19/preview,,https://nptel.ac.in/courses/101105090,,,,,,,,,,,,
noc23-ae20,Aerospace Engineering,aeroengine gas turbine cycles,Prof. Chetankumar Sureshbhai Mistry,IITKGP,IITKGP,12 Weeks,New,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc23_ae20/preview,,https://nptel.ac.in/courses/101105091,,,,,,,,,,,,
noc23-ag08,Agriculture Engineering,organic farming for sustainable agricultural production,Prof. Dilip Kumar Swain,IITKGP,IITKGP,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc23_ag08/preview,https://onlinecourses.nptel.ac.in/noc22_ag09/preview,https://nptel.ac.in/courses/126105014,,,,,,,,,,,,
noc23-ag09,Agriculture Engineering,fundamentals of food process engineering,Prof. Jayeeta Mitra,IITKGP,IITKGP,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG,Core,No,,https://onlinecourses.nptel.ac.in/noc23_ag09/preview,https://onlinecourses.nptel.ac.in/noc22_ag08/preview,https://nptel.ac.in/courses/126105011,,,,,,,,,,,,
noc23-ag10,Agriculture Engineering,micro irrigation engineering,Prof. Kamlesh Narayan Tiwari,IITKGP,IITKGP,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 29, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ag10/preview,https://onlinecourses.nptel.ac.in/noc22_ag11/preview,https://nptel.ac.in/courses/126105019,,,,,,,,,,,,
noc23-ag11,Agriculture Engineering,advanced aquaculture technology,Prof. Gourav Dhar Bhowmick,IITKGP,IITKGP,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ag11/preview,https://onlinecourses.nptel.ac.in/noc22_ag12/preview,https://nptel.ac.in/courses/126105022,,,,,,,,,,,,
noc23-ag12,Agriculture Engineering,farm machinery,Prof. V K Tewari,IITKGP,IITKGP,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG,Core,No,,https://onlinecourses.nptel.ac.in/noc23_ag12/preview,https://onlinecourses.nptel.ac.in/noc22_ag07/preview,https://nptel.ac.in/courses/126105009,,,,,,,,,,,,
noc23-ag13,Agriculture Engineering,soil fertility and fertilizers,Prof. Somsubhra Chakraborty,IITKGP,IITKGP,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ag13/preview,https://onlinecourses.nptel.ac.in/noc22_ag14/preview,https://nptel.ac.in/courses/126105024,,,,,,,,,,,,
noc23-ag14,Agriculture Engineering,thermal operations in food process engineering: theory and applications,Prof. Tridib Kumar Goswami,IITKGP,IITKGP,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 29, 2023","August 7, 2023","August 28, 2023",UG/PG,Core/Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ag14/preview,https://onlinecourses.nptel.ac.in/noc21_ag03/preview,https://nptel.ac.in/courses/126105018,,,,,,,,,,,,
noc23-ag15,Agriculture Engineering,natural resources management,Prof. Sudip Mitra,IITG,IITG,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ag15/preview,https://onlinecourses.nptel.ac.in/noc22_ag10/preview,https://nptel.ac.in/courses/126103022,,,,,,,,,,,,
noc23-ag16,Agriculture Engineering,"post harvest operations and processing of fruits, vegetables, spices and plantation crop products",Prof. H N Mishra,IITKGP,IITKGP,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ag16/preview,https://onlinecourses.nptel.ac.in/noc22_ag13/preview,https://nptel.ac.in/courses/126105023,,,,,,,,,,,,
noc23-ag17,Agriculture Engineering,irrigation and drainage,Prof. Damodhara Rao Mailapalli,IITKGP,IITKGP,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 29, 2023","August 7, 2023","August 28, 2023",UG,Core,No,,https://onlinecourses.nptel.ac.in/noc23_ag17/preview,https://onlinecourses.nptel.ac.in/noc21_ag04/preview,https://nptel.ac.in/courses/126105010,,,,,,,,,,,,
noc23-ag18,Agriculture Engineering,dairy and food process and products technology,Prof. Tridib Kumar Goswami,IITKGP,IITKGP,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ag18/preview,https://onlinecourses.nptel.ac.in/noc22_ag06/preview,https://nptel.ac.in/courses/126105013,,,,,,,,,,,,
noc23-ag19,Agriculture Engineering,food oils and fats : chemistry and technology,Prof. Hari. Niwas Mishra,IITKGP,IITKGP,12 weeks,New,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ag19/preview,,https://nptel.ac.in/courses/126105027,,,,,,,,,,,,
noc23-ar08,Architecture and Planning,"urban utilities planning : water supply, sanitation and drainage",Prof. Debapratim Pandit,IITKGP,IITKGP,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ar08/preview,https://onlinecourses.nptel.ac.in/noc21_ar13/preview,https://nptel.ac.in/courses/124105158,,,,,,,,,,,,
noc23-ar09,Architecture and Planning,architectural conservation and historic preservation,Prof. Sanghamitra Basu,IITKGP,IITKGP,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ar09/preview,https://onlinecourses.nptel.ac.in/noc22_ar08/preview,https://nptel.ac.in/courses/124105003,,,,,,,,,,,,
noc23-ar10,Architecture and Planning,building materials and composites,Prof. Sumana Gupta,IITKGP,IITKGP,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG,Core,No,Construction Materials Technology,https://onlinecourses.nptel.ac.in/noc23_ar10/preview,https://onlinecourses.nptel.ac.in/noc22_ar14/preview,https://nptel.ac.in/courses/124105013,,,,,,,,,,,,
noc23-ar11,Architecture and Planning,architectural acoustics,"Prof. Sumana Gupta, Prof. Shankha Pratim Bhattacharya",IITKGP,IITKGP,8 Weeks,Rerun,"August 21, 2023","October 13, 2023","October 28, 2023","August 21, 2023","September 15, 2023",UG,Core,No,,https://onlinecourses.nptel.ac.in/noc23_ar11/preview,https://onlinecourses.nptel.ac.in/noc21_ar06/preview,https://nptel.ac.in/courses/124105004,,,,,,,,,,,,
noc23-ar12,Architecture and Planning,urban landuse and transportation planning,Prof. Debapratim Pandit,IITKGP,IITKGP,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc23_ar12/preview,https://onlinecourses.nptel.ac.in/noc22_ar15/preview,https://nptel.ac.in/courses/124105016,,,,,,,,,,,,
noc23-ar13,Architecture and Planning,international studies in vernacular architecture,"Prof. Ram Sateesh Pasupuleti
Prof. Yenny Gunawan
Prof. Melissa Malouf Belz",IITR,IITR,4 Weeks,Rerun,"August 21, 2023","September 15, 2023","October 28, 2023","August 21, 2023","September 15, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ar13/preview,https://onlinecourses.nptel.ac.in/noc22_ar17/preview,https://nptel.ac.in/courses/124107162,,,,,,,,,,,,
noc23-ar14,Architecture and Planning,modern indian architecture,Prof. P. S. Chani,IITR,IITR,8 Weeks,Rerun,"August 21, 2023","October 13, 2023","October 28, 2023","August 21, 2023","September 15, 2023",UG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ar14/preview,https://onlinecourses.nptel.ac.in/noc22_ar13/preview,https://nptel.ac.in/courses/124107161,,,,,,,,,,,,
noc23-ar15,Architecture and Planning,introduction to urban planning,Prof. Harshit Sosan Lakra,IITR,IITR,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc23_ar15/preview,https://onlinecourses.nptel.ac.in/noc22_ar18/preview,https://nptel.ac.in/courses/124107158,,,,,,,,,,,,
noc23-ar16,Architecture and Planning,sustainable architecture,Prof. Avlokita Agrawal,IITR,IITR,12 weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG,Core,No,,https://onlinecourses.nptel.ac.in/noc23_ar16/preview,https://onlinecourses.nptel.ac.in/noc22_ar12/preview,https://nptel.ac.in/courses/124107011,,,,,,,,,,,,
noc23-ar17,Architecture and Planning,role of craft and technology in interior - architecture,Prof. Smriti Saraswat,IITR,IITR,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc23_ar17/preview,https://onlinecourses.nptel.ac.in/noc22_ar09/preview,https://nptel.ac.in/courses/124107006,,,,,,,,,,,,
noc23-ar18,Architecture and Planning,housing policy & planning,Prof. Uttam Kumar Roy,IITR,IITR,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc23_ar18/preview,https://onlinecourses.nptel.ac.in/noc22_ce52/preview,https://nptel.ac.in/courses/124107001,,,,,,,,,,,,
noc23-ar19,Architecture and Planning,urban governance and development management (ugdm),Prof. Uttam Kumar Roy,IITR,IITR,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ar19/preview,https://onlinecourses.nptel.ac.in/noc22_ar10/preview,https://nptel.ac.in/courses/124107007,,,,,,,,,,,,
noc23-ar20,Architecture and Planning,contemporary architecture and design,Prof. Saptarshi Kolay,IITR,IITR,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ar20/preview,https://onlinecourses.nptel.ac.in/noc22_ar11/preview,https://nptel.ac.in/courses/124107005,,,,,,,,,,,,
noc23-ar21,Architecture and Planning,principles and applications of building science,Prof. E. Rajasekar,IITR,IITR,4 Weeks,Rerun,"July 24, 2023","August 18, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ar21/preview,https://onlinecourses.nptel.ac.in/noc22_ce101/preview,https://nptel.ac.in/courses/105107156,,,,,,,,,,,,
noc23-ar22,Architecture and Planning,visual communication design for digital media,Prof. Saptarshi Kolay,IITR,IITR,4 Weeks,Rerun,"July 24, 2023","August 18, 2023","September 24, 2023","August 7, 2023","August 21, 2023",PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ar22/preview,https://onlinecourses.nptel.ac.in/noc22_ce53/preview,https://nptel.ac.in/courses/124107002,,,,,,,,,,,,
noc23-ar24,Architecture and Planning/Design Engineering,introduction to interaction design,Prof. Sonal Atreya,IITR,IITR,4 Weeks,New,"August 21, 2023","September 15, 2023","October 29, 2023","August 21, 2023","September 15, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ar24/preview,,https://nptel.ac.in/courses/124107164,,,,,,,,,,,,
noc23-ar25,Architecture and Planning,understanding and reducing ghg emissions ï¿½ focus on scope 1 and 2 emission reduction through building design and construction,Prof. Avlokita Agrawal,IITR,IITR,8 Weeks,New,"August 21, 2023","October 13, 2023","October 29, 2023","August 21, 2023","September 15, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_ar25/preview,,https://nptel.ac.in/courses/124107165,,,,,,,,,,,,
noc23-bt34,Biotechnology and Bioengineering,next generation sequencing technologies : data analysis and applications,Prof. Riddhiman Dhar,IITKGP,IITKGP,12 weeks,New,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Core,Yes,Computational Biology,https://onlinecourses.nptel.ac.in/noc23_bt34/preview,,https://nptel.ac.in/courses/102105099,,,,,,,,,,,,
noc23-bt35,Biotechnology and Bioengineering,genetic engineering: theory and application,Prof. Vishal Trivedi,IITG,IITG,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,"Bioprocesses
Biosciences",https://onlinecourses.nptel.ac.in/noc23_bt35/preview,https://onlinecourses.nptel.ac.in/noc22_bt59/preview,https://nptel.ac.in/courses/102103074,,,,,,,,,,,,
noc23-bt36,Biotechnology and Bioengineering,introduction to proteogenomics,Prof. Sanjeeva Srivastava,IITB,IITB,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 29, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,Computational Biology,https://onlinecourses.nptel.ac.in/noc23_bt36/preview,https://onlinecourses.nptel.ac.in/noc22_bt52/preview,https://nptel.ac.in/courses/102101076,,,,,,,,,,,,
noc23-bt37,Biotechnology and Bioengineering,drug delivery: principles and engineering,Prof. Rachit Agarwal,IISc,IISc,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 29, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,Bioengineering,https://onlinecourses.nptel.ac.in/noc23_bt37/preview,https://onlinecourses.nptel.ac.in/noc22_bt41/preview,https://nptel.ac.in/courses/102108077,,,,,,,,,,,,
noc23-bt38,"Electrical, Electronics and Communications Engineering",fundamentals of micro and nanofabrication,"Prof Sushobhan Avasti
 Prof. Shankar Selvaraja",IISc,IISc,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 29, 2023","August 7, 2023","August 28, 2023",UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc23_bt38/preview,https://onlinecourses.nptel.ac.in/noc22_bt45/preview,https://nptel.ac.in/courses/102108078,,,,,,,,,,,,
noc23-bt39,Biotechnology and Bioengineering,cellular biophysics: a framework for quantitative biology,Prof. Chaitanya A.Athale,IISER pune,IITM,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",PG,Elective,Yes,Bioengineering,https://onlinecourses.nptel.ac.in/noc23_bt39/preview,https://onlinecourses.nptel.ac.in/noc22_bt32/preview,https://nptel.ac.in/courses/102106093,,,,,,,,,,,,
noc23-bt40,Biotechnology and Bioengineering,Demystifying The Brain,Prof. Ganapathy Krishnamurthi,IITM,IITM,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc23_bt40/preview,https://onlinecourses.nptel.ac.in/noc22_bt34/preview,https://nptel.ac.in/courses/102106094,,,,,,,,,,,,
noc23-bt41,Biotechnology and Bioengineering,computer aided drug design,Prof. Mukesh Doble,IITM,IITM,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG/PG,Core,Yes,Computational Biology,https://onlinecourses.nptel.ac.in/noc23_bt41/preview,https://onlinecourses.nptel.ac.in/noc22_bt37/preview,https://nptel.ac.in/courses/102106070,,,,,,,,,,,,
noc23-bt42,Biotechnology and Bioengineering,plant cell bioprocessing,Prof. Smita Srivastava,IITM,IITM,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG,Core,No,Bioprocesses,https://onlinecourses.nptel.ac.in/noc23_bt42/preview,https://onlinecourses.nptel.ac.in/noc22_bt38/preview,https://nptel.ac.in/courses/102106080,,,,,,,,,,,,
noc23-bt43,Biotechnology and Bioengineering,introduction to developmental biology,Prof. Subramaniam K,IITM,IITM,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 29, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,Biosciences,https://onlinecourses.nptel.ac.in/noc23_bt43/preview,https://onlinecourses.nptel.ac.in/noc22_bt39/preview,https://nptel.ac.in/courses/102106084,,,,,,,,,,,,
noc23-bt44,Biotechnology and Bioengineering,principles of downstream techniques in bioprocess,Prof. Mukesh Doble,IITM,IITM,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,Bioprocesses,https://onlinecourses.nptel.ac.in/noc23_bt44/preview,https://onlinecourses.nptel.ac.in/noc22_bt48/preview,https://nptel.ac.in/courses/102106022,,,,,,,,,,,,
noc23-bt45,Biotechnology and Bioengineering,bioreactors,Prof. G.K. Suraishkumar,IITM,IITM,4 Weeks,Rerun,"July 24, 2023","August 18, 2023","September 24, 2023","August 7, 2023","August 21, 2023",UG,Core,No,,https://onlinecourses.nptel.ac.in/noc23_bt45/preview,https://onlinecourses.nptel.ac.in/noc22_bt49/preview,https://nptel.ac.in/courses/102106053,,,,,,,,,,,,
noc23-bt46,Biotechnology and Bioengineering,tissue engineering,Prof. Vignesh Muthuvijayan,IITM,IITM,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",PG,Elective,Yes,Bioengineering,https://onlinecourses.nptel.ac.in/noc23_bt46/preview,https://onlinecourses.nptel.ac.in/noc22_bt50/preview,https://nptel.ac.in/courses/102106081,,,,,,,,,,,,
noc23-bt47,Biotechnology and Bioengineering,transport phenomena in biological systems,Prof. G. K. Suraishkumar,IITM,IITM,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Core,Yes,"Bioengineering 
Bioprocesses",https://onlinecourses.nptel.ac.in/noc23_bt47/preview,https://onlinecourses.nptel.ac.in/noc22_bt51/preview,https://nptel.ac.in/courses/102106083,,,,,,,,,,,,
noc23-bt48,Biotechnology and Bioengineering,introduction to biomedical imaging systems,Prof. Arun K. Thittai,IITM,IITM,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Core/Elective,Yes,Control and Instrumentation,https://onlinecourses.nptel.ac.in/noc23_bt48/preview,https://onlinecourses.nptel.ac.in/noc22_bt56/preview,https://nptel.ac.in/courses/102105090,,,,,,,,,,,,
noc23-bt49,Biotechnology and Bioengineering,organ printing,Prof. Falguni Pati,IIT Hyderabad,IITM,8 Weeks,Rerun,"July 24, 2023","September 15, 2023","September 24, 2023","August 7, 2023","August 21, 2023",PG,Elective,Yes,Bioengineering,https://onlinecourses.nptel.ac.in/noc23_bt49/preview,https://onlinecourses.nptel.ac.in/noc22_bt61/preview,https://nptel.ac.in/courses/102106095,,,,,,,,,,,,
noc23-bt50,Biotechnology and Bioengineering,introduction to cell biology,"Prof. Nagaraj Balasubramanian
 Prof. Girish Ratnaparkhi",IISER pune,IITM,8 Weeks,Rerun,"August 21, 2023","October 13, 2023","October 29, 2023","August 21, 2023","September 15, 2023",UG,Core,No,,https://onlinecourses.nptel.ac.in/noc23_bt50/preview,https://onlinecourses.nptel.ac.in/noc22_bt33/preview,https://nptel.ac.in/courses/102106096,,,,,,,,,,,,
noc23-bt51,Biotechnology and Bioengineering,genome editing and engineering,Prof. Utpal Bora,IITG,IITG,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,Biosciences,https://onlinecourses.nptel.ac.in/noc23_bt51/preview,https://onlinecourses.nptel.ac.in/noc22_bt35/preview,https://nptel.ac.in/courses/102103093,,,,,,,,,,,,
noc23-bt52,Biotechnology and Bioengineering,introduction to dynamical models in biology,Prof. Biplab Bose,IITG,IITG,4 Weeks,Rerun,"August 21, 2023","September 15, 2023","October 29, 2023","August 21, 2023","September 15, 2023",UG/PG,Elective,Yes,Computational Biology,https://onlinecourses.nptel.ac.in/noc23_bt52/preview,https://onlinecourses.nptel.ac.in/noc22_bt58/preview,https://nptel.ac.in/courses/102103056,,,,,,,,,,,,
noc23-bt53,Biotechnology and Bioengineering,functional genomics,Prof. S.Ganesh,IITK,IITK,4 Weeks,Rerun,"August 21, 2023","September 15, 2023","October 28, 2023","August 21, 2023","September 15, 2023",UG,Elective,Yes,Computational Biology,https://onlinecourses.nptel.ac.in/noc23_bt53/preview,https://onlinecourses.nptel.ac.in/noc22_bt42/preview,https://nptel.ac.in/courses/102104056,,,,,,,,,,,,
noc23-bt54,Biotechnology and Bioengineering,conservation geography,Prof. Ankur Awadhiya,IITK,IITK,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_bt54/preview,https://onlinecourses.nptel.ac.in/noc22_bt54/preview,https://nptel.ac.in/courses/102104088,,,,,,,,,,,,
noc23-bt55,Biotechnology and Bioengineering,wildlife ecology,Prof. Ankur Awadhiya,IITK,IITK,12 Weeks,Rerun,"July 24, 2023","October 13, 2023","October 28, 2023","August 7, 2023","August 28, 2023",UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc23_bt55/preview,https://onlinecourses.nptel.ac.in/noc22_bt55/preview,https://nptel.ac.in/courses/102104073,,,,,,,,,,,,
